COD_ESTABELECIMENTO,COD_MCC,NOME_ESTABELECIMENTO,CIDADE_ESTABELECIMENTO,TRANSACAO_COM_CHIP,FREQ_TRANSACAO,MCC_CODE,MCC_DESCRIPTION,NOME_MCC,COD_CATEGORIA
43473890,5712,LASS DECORACOES SERV,CURITIBA,S,1,5712.0,MOVEIS EM GERAL,LASS DECORACOES SERV MOVEIS EM GERAL,10
1079057550,8999,ANA PAULA LIMA CERQUEI,BELO HORIZONT,S,1,8999.0,SERVICOS PROFISSIONAIS NAO RELACIONADOS,ANA PAULA LIMA CERQUEI SERVICOS PROFISSIONAIS NAO RELACIONADOS,10
50763075,5411,RPA COMERCIO DE PRODU,A GOIANIA,N,13,5411.0,SUPERMERCADOS,RPA COMERCIO DE PRODU SUPERMERCADOS,10
26081253,8299,AUTO ESCOLA NB,MANAUS,S,5,8299.0,ESCOLAS E CURSOS EM GERAL,AUTO ESCOLA NB ESCOLAS E CURSOS EM GERAL,10
4190125,4121,LUCIANO DOMINGOS DIAS,SAO PAULO,N,7,4121.0,TAXI / LIMOUSINES,LUCIANO DOMINGOS DIAS TAXI / LIMOUSINES,10
67963633,5943,A CASA BRASILEIRA,BRASILIA,N,3,5943.0,PAPELARIAS,A CASA BRASILEIRA PAPELARIAS,10
1014293100,5734,PONTO DE ENCONTRO,RIO DE JANEIR,S,119,5734.0,LOJAS DE INFORMATICA,PONTO DE ENCONTRO LOJAS DE INFORMATICA,10
329067910995,5541,RAPID #63,LOS ANGELES,S,1,5541.0,POSTOS DE GASOLINA,RAPID #63 POSTOS DE GASOLINA,10
9061911327,5963,JULIO DA SILVA,RIO DE JANEIR,S,3,5963.0,VENDAS A DOMICILIO,JULIO DA SILVA VENDAS A DOMICILIO,10
132066964158180,8999,PAYPAL MAYSHOP,4029357733,N,2,8999.0,SERVICOS PROFISSIONAIS NAO RELACIONADOS,PAYPAL MAYSHOP SERVICOS PROFISSIONAIS NAO RELACIONADOS,10
43033,6011,RETIRADA - PAIS,,S,1,6011.0,CAIXA ELETRONICO,RETIRADA - PAIS CAIXA ELETRONICO,10
103879021,4789,PAG MARCELOVERISSIMOO,RIODEJANEIRO,S,1,4789.0,COOPERATIVAS DE TAXI,PAG MARCELOVERISSIMOO COOPERATIVAS DE TAXI,10
91905774,5812,PAGSEGUROUOL ESQUINAMI,JUIZDEFORA,N,1,5812.0,RESTAURANTES,PAGSEGUROUOL ESQUINAMI RESTAURANTES,10
102637417,5812,PAG CALDOSVALERIA,SAOFELIXDOXIN,S,2,5812.0,RESTAURANTES,PAG CALDOSVALERIA RESTAURANTES,10
1044714848,5812,BALADA MIX ICARAI,NITEROI,S,2,5812.0,RESTAURANTES,BALADA MIX ICARAI RESTAURANTES,10
1069276054,5963,JOAO BATISTA RIBEIRO D,RIO DE JANEIR,N,34,5963.0,VENDAS A DOMICILIO,JOAO BATISTA RIBEIRO D VENDAS A DOMICILIO,10
1094782901,5812,MARNON DOS SANTOS,RIO DE JANEIR,N,3,5812.0,RESTAURANTES,MARNON DOS SANTOS RESTAURANTES,10
1076090866,5963,BRUNO BORGES SANTOS,ITAQUAQUECETU,S,1,5963.0,VENDAS A DOMICILIO,BRUNO BORGES SANTOS VENDAS A DOMICILIO,10
76184552,5331,COSTELAO DO GILDO,PRADO,S,1,5331.0,LOJAS DE ARMARINHOS E BAZARES,COSTELAO DO GILDO LOJAS DE ARMARINHOS E BAZARES,10
1020693948,7631,OPTICA E RELOJOARIA DE,CAMPO GRANDE,S,3,7631.0,JOIAS E RELOGIOS - CONSERTOS,OPTICA E RELOJOARIA DE JOIAS E RELOGIOS - CONSERTOS,10
4779365,5812,PRET A MANGER,ROISSY EN FRA,S,3,5812.0,RESTAURANTES,PRET A MANGER RESTAURANTES,10
20179618,5947,ARMARINHO DE JACIRA,DELMIRO GOUVE,S,1,5947.0,LOJAS DE COUROS E ARTEFATOS,ARMARINHO DE JACIRA LOJAS DE COUROS E ARTEFATOS,10
1097458161,7011,CURVAO SURF HOUSE HOSP,GUARUJA,S,2,7011.0,"HOTEIS, POUSADAS, ETC","CURVAO SURF HOUSE HOSP HOTEIS, POUSADAS, ETC",10
1075613628,7230,KALISSA KALK DA SILVA,RIO DE JANEIR,S,1,7230.0,SALAO DE BELEZA / BARBEARIA,KALISSA KALK DA SILVA SALAO DE BELEZA / BARBEARIA,10
76419150,7230,SU CABELEIREIROS,RIO DE JANEIR,N,2,7230.0,SALAO DE BELEZA / BARBEARIA,SU CABELEIREIROS SALAO DE BELEZA / BARBEARIA,10
1004179518,5541,POSTO HIROCHI,OLIMPIA,N,2,5541.0,POSTOS DE GASOLINA,POSTO HIROCHI POSTOS DE GASOLINA,10
27929389,5970,HIPNOSE ACESSORIOS,VILA VELHA,S,4,5970.0,LOJAS DE PRODUTOS PARA ARTISTAS,HIPNOSE ACESSORIOS LOJAS DE PRODUTOS PARA ARTISTAS,10
8491625687,7230,HAIR BEAUTY SPACE,RIO DE JANEIR,S,2,7230.0,SALAO DE BELEZA / BARBEARIA,HAIR BEAUTY SPACE SALAO DE BELEZA / BARBEARIA,10
41722191,5995,ENCAOTADOS PET,RIO DE JANEIR,N,34,5995.0,ANIMAIS / COMIDAS E SUPRIMENTOS,ENCAOTADOS PET ANIMAIS / COMIDAS E SUPRIMENTOS,10
22881530,5812,ACOUGUE DO ARMANDO,BRODOWSKI,S,2,5812.0,RESTAURANTES,ACOUGUE DO ARMANDO RESTAURANTES,10
110733763,4722,PAG BRASILTOPTOURS,GOVERNADOR VA,N,2,4722.0,OPERADORES / AGENCIAS DE VIAGEM,PAG BRASILTOPTOURS OPERADORES / AGENCIAS DE VIAGEM,10
100638949,5462,ANKERBROT,WIEN,S,1,5462.0,PADARIAS,ANKERBROT PADARIAS,10
4098168800,5947,MIAMI NEWS NOW #2402 0000,MIAMI,S,1,5947.0,LOJAS DE COUROS E ARTEFATOS,MIAMI NEWS NOW #2402 0000 LOJAS DE COUROS E ARTEFATOS,10
108457225,5691,PAG GLEICIANEMIRANDAD,FORTALEZA,N,1,5691.0,ROUPAS MASCULINAS E FEMININAS,PAG GLEICIANEMIRANDAD ROUPAS MASCULINAS E FEMININAS,10
8496026295,5462,PAO PADARIA ARTESANAL,SAO PAULO,S,2,5462.0,PADARIAS,PAO PADARIA ARTESANAL PADARIAS,10
4305920,5137,JHL MODAS EIRELI ME,COLATINA,N,1,5137.0,COMERCIO DE ROUPAS E UNIFORMES ADULTO E INFANTIL,JHL MODAS EIRELI ME COMERCIO DE ROUPAS E UNIFORMES ADULTO E INFANTIL,10
1097903629,5812,BISTRO PRAIA DO ESTALE,BALNEARIO CAM,S,3,5812.0,RESTAURANTES,BISTRO PRAIA DO ESTALE RESTAURANTES,10
5876032,5812,PRET A MANGER,UNIT 320 CABO,S,1,5812.0,RESTAURANTES,PRET A MANGER RESTAURANTES,10
1711786,5921,BISTRO DA SARA,SAO PAULO,N,5,5921.0,BEBIDAS,BISTRO DA SARA BEBIDAS,10
4270656,4121,MARCEL DA SILVA PAIXAO,RIO DE JANEIR,N,1,4121.0,TAXI / LIMOUSINES,MARCEL DA SILVA PAIXAO TAXI / LIMOUSINES,10
8670634518,5631,PENA INDUSTRIA E COMERCIO,FORTALEZA,S,2,5631.0,ACESSORIOS FEMININOS,PENA INDUSTRIA E COMERCIO ACESSORIOS FEMININOS,10
8678250176,5533,SR COMERCIO DE FILTROS LT,SAO JOSE DOS,S,2,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,SR COMERCIO DE FILTROS LT LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,10
68676557,5812,CASARAO DO CAIS,CONCEICAO DA,S,7,5812.0,RESTAURANTES,CASARAO DO CAIS RESTAURANTES,10
135363681000000,7230,MARLY BOM RETIRO,CURITIBA,S,26,7230.0,SALAO DE BELEZA / BARBEARIA,MARLY BOM RETIRO SALAO DE BELEZA / BARBEARIA,10
4036136,5912,DIADEMA,DIADEMA,N,2,5912.0,DROGARIAS E FARMACIAS,DIADEMA DROGARIAS E FARMACIAS,10
61242802,5812,PARMAGANZZA,NATAL,N,1,5812.0,RESTAURANTES,PARMAGANZZA RESTAURANTES,10
108451513,5812,PAG WILSONCRESPODEOLI,RIODEJANEIRO,S,3,5812.0,RESTAURANTES,PAG WILSONCRESPODEOLI RESTAURANTES,10
8680418712,4225,BR CRAFT INSUMOS CERVEJEI,RIO DE JANEIR,N,1,4225.0,ARMAZEM PUBLICO,BR CRAFT INSUMOS CERVEJEI ARMAZEM PUBLICO,10
1010861104,5983,BRASILIA COM DE GAS,DIADEMA,S,1,5983.0,COMERCIO DE COMBUSTIVEIS / CARVAO E LENHA,BRASILIA COM DE GAS COMERCIO DE COMBUSTIVEIS / CARVAO E LENHA,10
372805850883,4814,CELLHIRE USA,2143555200,N,5,4814.0,FAX / CHAMADAS LOCAIS E LONGA DISTANCIA,CELLHIRE USA FAX / CHAMADAS LOCAIS E LONGA DISTANCIA,10
8730541885,5422,TAPIOCA POTIGUAR,DUQUE DE CAXI,S,1,5422.0,COMIDAS CONGELADAS,TAPIOCA POTIGUAR COMIDAS CONGELADAS,10
2884882,5812,PAG CESARMARCIANODAFO,DIAMANTINA,S,1,5812.0,RESTAURANTES,PAG CESARMARCIANODAFO RESTAURANTES,10
9903078541,5812,MOBY DICK,CIUDAD AUTONO,N,1,5812.0,RESTAURANTES,MOBY DICK RESTAURANTES,10
96166586,5651,PAGSEGUROUOL ESPACODAM,PELOTAS,S,1,5651.0,VENDAS DE ROUPAS PARA FAMILIA,PAGSEGUROUOL ESPACODAM VENDAS DE ROUPAS PARA FAMILIA,10
1027676011,5621,PATT 112D,RIO DE JANEIR,S,44,5621.0,LOJAS DE ROUPAS FEMININAS,PATT 112D LOJAS DE ROUPAS FEMININAS,10
1041947795,8999,ORLANDO ALMEIDA,MESQUITA,S,2,8999.0,SERVICOS PROFISSIONAIS NAO RELACIONADOS,ORLANDO ALMEIDA SERVICOS PROFISSIONAIS NAO RELACIONADOS,10
27768406,5691,ABRAKADABRA,BELO HORIZONT,N,2,5691.0,ROUPAS MASCULINAS E FEMININAS,ABRAKADABRA ROUPAS MASCULINAS E FEMININAS,10
211262000206216,5732,APPLE STORE R450,MADRID,N,18,5732.0,APARELHOS DE SOM / TELEVISORES / ELETRODOMESTICOS,APPLE STORE R450 APARELHOS DE SOM / TELEVISORES / ELETRODOMESTICOS,10
98734742,5311,PAG BELELAMODAS,SAOPAULO,N,1,5311.0,LOJAS DE DEPARTAMENTO,PAG BELELAMODAS LOJAS DE DEPARTAMENTO,10
8704053933,5812,FLOR DE LIS,OSASCO,S,1,5812.0,RESTAURANTES,FLOR DE LIS RESTAURANTES,10
4560064989,5813,DINHO S PARAISO,SAO PAULO,S,8,5813.0,"BARES, LANCHONETES, BOATES, CLUBES NOTURNOS","DINHO S PARAISO BARES, LANCHONETES, BOATES, CLUBES NOTURNOS",10
538505501188594,5812,HARD ROCK SD MJS,SAN DIEGO,N,1,5812.0,RESTAURANTES,HARD ROCK SD MJS RESTAURANTES,10
1022543943,5814,X PICANHA,MACAE,S,8,5814.0,FAST FOOD,X PICANHA FAST FOOD,10
55888917,5441,MAOS NA MASSA,RIO DE JANEIR,S,8,5441.0,DOCERIAS E CONFEITARIAS,MAOS NA MASSA DOCERIAS E CONFEITARIAS,10
1076702985,5812,PAMELA FRONZA RIBEIRO,RIO DE JANEIR,S,2,5812.0,RESTAURANTES,PAMELA FRONZA RIBEIRO RESTAURANTES,10
356266,5541,VEMK,RIO DE JANEIR,N,243,5541.0,POSTOS DE GASOLINA,VEMK POSTOS DE GASOLINA,10
3510000911947,6011,3510000911947,PARIS,N,1,6011.0,CAIXA ELETRONICO,003510000911947 CAIXA ELETRONICO,10
110045376,5013,PAG REISDAMECANICA,RIODEJANEIRO,S,4,5013.0,PECAS E SERVICOS PARA VEICULOS,PAG REISDAMECANICA PECAS E SERVICOS PARA VEICULOS,10
9918069345,5812,CAVE BISTRO,GOIANIA,S,3,5812.0,RESTAURANTES,CAVE BISTRO RESTAURANTES,10
4098206212,5814,PANERA BREAD #204713 0000,MIRAMAR,S,1,5814.0,FAST FOOD,PANERA BREAD #204713 0000 FAST FOOD,10
76230039,8249,PAGSEGUROUOL CRISTIANE,MARICA,S,15,8249.0,VOCACIONAL,PAGSEGUROUOL CRISTIANE VOCACIONAL,10
8731320677,5732,LOFT,RIO DE JANEIR,S,104,5732.0,APARELHOS DE SOM / TELEVISORES / ELETRODOMESTICOS,LOFT APARELHOS DE SOM / TELEVISORES / ELETRODOMESTICOS,10
642796,5691,PARANOIA,UBA,N,1,5691.0,ROUPAS MASCULINAS E FEMININAS,PARANOIA ROUPAS MASCULINAS E FEMININAS,10
18300049,5712,BAZAR CENTR DE LAJE,LAJE DO MURIA,S,1,5712.0,MOVEIS EM GERAL,BAZAR CENTR DE LAJE MOVEIS EM GERAL,10
28598670,5812,BRUNO O DE HOLANDA EI,PORTO VELHO,N,1,5812.0,RESTAURANTES,BRUNO O DE HOLANDA EI RESTAURANTES,10
433407000001,4789,GRUPPO BATTELLIERI,AMALFI,S,1,4789.0,COOPERATIVAS DE TAXI,GRUPPO BATTELLIERI COOPERATIVAS DE TAXI,10
8731018396,8999,ASSOCIACAO FAZENDA VIL,ITU,S,3,8999.0,SERVICOS PROFISSIONAIS NAO RELACIONADOS,ASSOCIACAO FAZENDA VIL SERVICOS PROFISSIONAIS NAO RELACIONADOS,10
1016305327,5541,TIGRE DE ALPHAVILLE,SANTANA DE PA,S,10,5541.0,POSTOS DE GASOLINA,TIGRE DE ALPHAVILLE POSTOS DE GASOLINA,10
99802128,5812,PAGSEGUROUOL BARDOGENE,RIODEJANEIRO,N,8,5812.0,RESTAURANTES,PAGSEGUROUOL BARDOGENE RESTAURANTES,10
97852189,5691,PAGSEGUROUOL SCALLABRI,BELOHORIZONTE,S,1,5691.0,ROUPAS MASCULINAS E FEMININAS,PAGSEGUROUOL SCALLABRI ROUPAS MASCULINAS E FEMININAS,10
372617151884,5651,BURLNGTON STORES261,HIALEAH,S,2,5651.0,VENDAS DE ROUPAS PARA FAMILIA,BURLNGTON STORES261 VENDAS DE ROUPAS PARA FAMILIA,10
1078764600,5812,SANTE BISTRO,RIO DE JANEIR,S,29,5812.0,RESTAURANTES,SANTE BISTRO RESTAURANTES,10
1086499074,5651,NAYANE CRISTINA DA SIL,RIO DE JANEIR,S,3,5651.0,VENDAS DE ROUPAS PARA FAMILIA,NAYANE CRISTINA DA SIL VENDAS DE ROUPAS PARA FAMILIA,10
8727026536,5651,"MC MODA UNISSEX,",RIO DE JANEIR,S,5,5651.0,VENDAS DE ROUPAS PARA FAMILIA,"MC MODA UNISSEX, VENDAS DE ROUPAS PARA FAMILIA",10
8547157156,5944,PANDORA DO BRASIL COM,MANAUS,S,2,5944.0,JOALHERIAS E RELOJOARIAS,PANDORA DO BRASIL COM JOALHERIAS E RELOJOARIAS,10
6976,6011,MIGDALEI AVIV,TEL AVIV,S,42,6011.0,CAIXA ELETRONICO,MIGDALEI AVIV CAIXA ELETRONICO,10
107655832,4789,PAG DOMINGOSCAMARGO,RIODEJANEIRO,S,4,4789.0,COOPERATIVAS DE TAXI,PAG DOMINGOSCAMARGO COOPERATIVAS DE TAXI,10
26892019,5999,PAG CHUPETAMANIA,BAURU,N,1,5999.0,FOGOS DE ARTIFICIO / DISTRIBUIDOR,PAG CHUPETAMANIA FOGOS DE ARTIFICIO / DISTRIBUIDOR,10
31565441,5533,BRUNO EDUARDO TEIXEIRA,CUIABA,S,1,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,BRUNO EDUARDO TEIXEIRA LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,10
1036101450,5441,FORNO E PAO,COTIA,N,1,5441.0,DOCERIAS E CONFEITARIAS,FORNO E PAO DOCERIAS E CONFEITARIAS,10
412435,5812,POINT DO SABOR,DUQUE DE CAXI,S,5,5812.0,RESTAURANTES,POINT DO SABOR RESTAURANTES,10
8708083639,5814,GRILETTO ALPHA SH,BARUERI,S,1,5814.0,FAST FOOD,GRILETTO ALPHA SH FAST FOOD,10
8720716299,5812,PARRILLA DE LA SI,JUNDIAI,S,1,5812.0,RESTAURANTES,PARRILLA DE LA SI RESTAURANTES,10
8736531385,5541,AUTO BENDIX WOLKS LTDA,RIO DE JANEIR,S,600,5541.0,POSTOS DE GASOLINA,AUTO BENDIX WOLKS LTDA POSTOS DE GASOLINA,10
8703218198,8999,CARLOS HENRIQUE L,INDAIATUBA,S,1,8999.0,SERVICOS PROFISSIONAIS NAO RELACIONADOS,CARLOS HENRIQUE L SERVICOS PROFISSIONAIS NAO RELACIONADOS,10
8534536636,5812,OH MY DOG,FORTALEZA,S,1,5812.0,RESTAURANTES,OH MY DOG RESTAURANTES,10
4124120,5422,ACOUGUE SOROCABA LTDA,RIO DE JANEIR,N,7,5422.0,COMIDAS CONGELADAS,ACOUGUE SOROCABA LTDA COMIDAS CONGELADAS,10
77036670,5814,ZHENG X LANCHONENTE,SAO JOAO DE M,S,11,5814.0,FAST FOOD,ZHENG X LANCHONENTE FAST FOOD,10
9911424166,5941,SILVESTRE RIO,RIO DE JANEIR,S,1,5941.0,"LOJAS DE ARTIGOS ESPORTIVOS, NAUTICOS","SILVESTRE RIO LOJAS DE ARTIGOS ESPORTIVOS, NAUTICOS",10
8705697084,5422,PEIXARIA,RIO DE JANEIR,S,367,5422.0,COMIDAS CONGELADAS,PEIXARIA COMIDAS CONGELADAS,10
510165180185068,5399,NATURINO,TRIBECA,S,1,5399.0,MERCADORIAS E SERVICOS EM GERAL NA,NATURINO MERCADORIAS E SERVICOS EM GERAL NA,10
35490,5311,JINFU SHOP,BEIJING,S,13,5311.0,LOJAS DE DEPARTAMENTO,JINFU SHOP LOJAS DE DEPARTAMENTO,10
8718367790,4722,PLANTRAVEL,NATAL,N,1,4722.0,OPERADORES / AGENCIAS DE VIAGEM,PLANTRAVEL OPERADORES / AGENCIAS DE VIAGEM,10
8701210874,5611,RITUAL MODA FEMIN,SAO PAULO,S,1,5611.0,LOJAS DE ROUPAS MASCULINAS,RITUAL MODA FEMIN LOJAS DE ROUPAS MASCULINAS,10
26345769,5541,POSTO TREVO,CURVELO,N,4,5541.0,POSTOS DE GASOLINA,POSTO TREVO POSTOS DE GASOLINA,10
11110856,5462,BELISKE,UBERABA,N,1,5462.0,PADARIAS,BELISKE PADARIAS,10
156631493278461,5973,PAYPAL ETSY,4029357733,N,1,5973.0,ARTIGOS RELIGIOSOS,PAYPAL ETSY ARTIGOS RELIGIOSOS,10
8714885969,5813,CANTINA FOX 13,RIO DE JANEIR,S,3,5813.0,"BARES, LANCHONETES, BOATES, CLUBES NOTURNOS","CANTINA FOX 13 BARES, LANCHONETES, BOATES, CLUBES NOTURNOS",10
112251727000000,5812,MR CHEFF,OURO PRETO,N,5,5812.0,RESTAURANTES,MR CHEFF RESTAURANTES,10
98417349,5311,PAG LEOSTATTOO,ARARUAMA,S,1,5311.0,LOJAS DE DEPARTAMENTO,PAG LEOSTATTOO LOJAS DE DEPARTAMENTO,10
8492285168,5814,STUNT MORUMBI,SAO PAULO,S,2,5814.0,FAST FOOD,STUNT MORUMBI FAST FOOD,10
516823,5814,PICNIC KAMPPI,HELSINKI,S,1,5814.0,FAST FOOD,PICNIC KAMPPI FAST FOOD,10
6666360,5812,FARINELLA,MILANO,S,1,5812.0,RESTAURANTES,FARINELLA RESTAURANTES,10
1020265687,5814,TROPICAL BANANA,CURITIBA,S,1,5814.0,FAST FOOD,TROPICAL BANANA FAST FOOD,10
534703880102843,5812,POKE ME,LOS ANGELES,S,1,5812.0,RESTAURANTES,POKE ME RESTAURANTES,10
70052719,5814,FARYD HAJAR,PARANAGUA,S,1,5814.0,FAST FOOD,FARYD HAJAR FAST FOOD,10
20735855,7011,MAURO JR TRATORIA,BOCAINA DE MI,S,5,7011.0,"HOTEIS, POUSADAS, ETC","MAURO JR TRATORIA HOTEIS, POUSADAS, ETC",10
4003549,5993,DUNKHAN HOOKAH LOUNGE,CAMPO GRANDE,S,2,5993.0,TABACARIA,DUNKHAN HOOKAH LOUNGE TABACARIA,10
25837824,5712,RM MOVEIS,GUARAPARI,S,1,5712.0,MOVEIS EM GERAL,RM MOVEIS MOVEIS EM GERAL,10
